Vehicle full name,Manufacturing,Model,Top speed (km/hr),Price (INR),Fuel Type,Wheelers type,Battery capacity [kWh],Full charging time (HR),Kerb weight (KG),Range (km/hr),Fast Charging, Drive Type, Number of Seats,boot space (L), Number of Airbags,Type of brakes,Max Torque (N-M),Type of Vehicle
Porsche Taycan 4S (Performance),Porsche,Taycan 4S (Performance),250,16400000,Electric,four wheeler,79.2,13.3,2880,407,YES,4WD,5,488,,disc (front + rear),640,Cars
Porsche Taycan 4S (Performance Plus),Porsche,Taycan 4S (Performance Plus),250,16400000,Electric,four wheeler,93.4,13.3,2880,463,YES,4WD,4,488,,disc (front + rear),650,Cars
Porsche Taycan Turbo,Porsche,Taycan Turbo,260,23000000,Electric,four wheeler,93.4,13.3,2880,450,YES,4WD,5,447,,disc (front + rear),850,Cars
Porsche Taycan Turbo S,Porsche,Taycan Turbo S,260,23000000,Electric,four wheeler,93.4,13.3,2870,412,YES,4WD,5,447,,disc (front + rear),1050,Cars
Renault Zoe R110,Renault,Zoe R110,135,800000,Electric,four wheeler,52,3,1988,395,YES,2WD (front )  ,5,338,,disc (front + rear),225,Cars
Renault Zoe R135,Renault,Zoe R135,140,,Electric,four wheeler,52,,1988,395,YES,2WD (front)   ,5,338,,disc (front + rear),245,Cars
Skoda Citigo-e iV,Skoda, Citigo-e iV,130,1889000,Electric,four wheeler,36.8,5.3,1530,260,YES,2WD (front )  ,4,250,,disc (front) + drum (rear),212,Cars
Smart fortwo EQ,Smart,fortwo EQ,130,1000000,Electric,four wheeler,17.6,4,1310,154,YES,2WD (rear),2,185,,disc (front) + drum (rear),160,Cars
Smart forfour EQ,Smart, forfour EQ,130,1000000,Electric,four wheeler,17.6,4.3,1570,148,YES,2WD (rear),4,260,,disc (front) + drum (rear),160,Cars
Volkswagen e-up!,Volkswagen, e-up!,130,400000,Electric,four wheeler,32.3,5.3,1530,258,YES,2WD (front   ,4,250,,disc (front) + drum (rear),210,Cars
Volkswagen ID.3 Pro Performance,Volkswagen,ID.3 Pro Performance,160,2362000,Electric,four wheeler,58,9.3,2270,425,YES,2WD (rear),5,385,,disc (front) + drum (rear),310,Cars
Volkswagen ID.3 Pro S,Volkswagen, ID.3 Pro S,160,3521520,Electric,four wheeler,77,9.3,2280,549,YES,2WD (rear),5,385,,disc (front) + drum (rear),310,Cars
Volkswagen ID.4 1st,Volkswagen, ID.4 1st,160,4310000,Electric,four wheeler,77,7.3,2660,500,YES,2WD (rear),5,543,,disc (front) + drum (rear),310,Cars
Citroën ë-Spacetourer (M),Citroën,ë-Spacetourer (M),130,,Electric,four wheeler,50,,2810,230,YES,2WD (front ) ,5,603,,disc (front + rear),260,Cars
Mercedes-Benz EQV (long),Mercedes-Benz,EQV (long),160,,Electric,four wheeler,90,,3500,356,YES,2WD (front )  ,5,,,,362,Cars
Nissan e-NV200 evalia,Nissan,e-NV200 evalia,123,,Electric,four wheeler,40,,2250,200,YES,2WD (front )  ,5,870,,disc (front + rear),254,Cars
Audi e-tron GT,Audi,e-tron GT,245,16600000,Electric,Four wheeler,93.4,5.15,2420,401,NO,AWD,5,490,8,disc (front + rear),630,Cars
Audi RS e-tron GT,Audi,RS e-tron GT,250,18900000,Electric,Four wheeler,93.4,5.15,2322,481,NO,AWD,5,435,6,disc (front + rear),830,Cars
BMW iX,BMW,iX,200,11600000,Electric,Four wheeler,76.6,11,1560,425,YES,AWD,5,500,6,disc (front + rear),630,Cars
BYD E6,BYD,E6,130,2915000,Electric,Four wheeler,71.7,1.3,1930,415,YES,FWD,5,580,6,disc (front + rear),180,Cars
Kia EV6,Kia, EV6,192,12000000,Electric,Four wheeler,77.4,21,2090,528,NO,AWD,5,490,8,disc (front + rear),350,Cars
MG ZS EV ,MG, ZS EV ,140,2590000,Electric,Four wheeler,50.3,8,1609,461,YES,FWD,5,448,6,disc (front + rear),461,Cars
MG ZS EV Excite,MG,ZS EV Excite,140,2200000,Electric,Four wheeler,50.3,19,1570,461,YES,FWD,5,470,6,disc (front + rear),280,Cars
MG ZS EV Exclusive,MG,ZS EV Exclusive,140,2588000,Electric,Four wheeler,50.3,19,1610,461,YES,FWD,5,448,6,disc (front + rear),280,Cars
Mahindra eKUV100,Mahindra ,eKUV100,120,825000,Electric,Four wheeler,15.6,5.45,1085,147,YES,FWD,5,243,6,,120,Cars
Tata Nexon EV,Tata,Nexon EV,120,1670000,Electric,Four wheeler,40.5,8.3,1400,437,NO,FWD,5,350,2,disc (front) + drum (rear),245,Cars
Tata Nexon EV max,Tata,Nexon EV max,140,1774000,Electric,Four wheeler,40.5,6.3,1400,437,YES,FWD,5,350,2,disc (front) + drum (rear),250,Cars
Tata Nexon EV XM,Tata,Nexon EV XM,120,1430000,Electric,Four wheeler,30.2,1,1370,312,YES,FWD,5,350,2,disc (front) + drum (rear),245,Cars
Tata Nexon EV XZ plus,Tata,Nexon EV XZ plus,120,1619000,Electric,Four wheeler,30.2,8,1400,312,YES,FWD,5,350,2,disc (front) + drum (rear),245,Cars
Tata Nexon EV XZ plus LUX,Tata,Nexon EV XZ plus LUX,120,1719000,Electric,Four wheeler,30.2,8.3,1400,312,YES,FWD,5,350,2,disc (front) + drum (rear),245,Cars
Tata Tigor EV XE,Tata,Tigor EV XE,120,1249000,Electric,Four wheeler,26,8.45,1235,306,YES,FWD,5,316,2,disc (front) + drum (rear),170,Cars
